dates;valeurs
2019-07;88.27
2019-08;89.81
2019-09;91.19
2019-10;93.17
2019-11;94.93
2019-12;92.96
2020-01;86.45
2020-02;99.01
2020-03;88.72
2020-04;73.33
2020-05;92.41
2020-06;86.32
2020-07;87.3
2020-08;86.92
2020-09;90.23
2020-10;84.61
2020-11;83.18
2020-12;84.08
2021-01;112.07
2021-02;100.03
